acceptanceDatetime,filing,form,filedAsOf,dateOfEvent,issuerName,issuerCik,issuerQkid,issuerTicker,filerName,filerCik,rule13d13g,namesOfRptPersons,isGrp,srcOfFunds,srcOfFundsDesc,placeOfOrg,soleVoting,sharedVoting,soleDispositoryPwr,sharedDispositoryPwr,aggAmtOwned,pctOfClass,personType,personTypeDesc
20200331163556,edgar/data/1336528/0001193125-20-092864.txt,SC 13D/A,20200331,20200327,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,OO,Other,Delaware,0,16386835,0,16386835,16386835,29.8,IA,Investment Adviser
20200331163556,edgar/data/1336528/0001193125-20-092864.txt,SC 13D/A,20200331,20200327,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,OO,Other,Delaware,0,16386835,0,16386835,16386835,29.8,OO,Other
20200331163556,edgar/data/1336528/0001193125-20-092864.txt,SC 13D/A,20200331,20200327,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,William A.Ackman,n,OO,Other,UnitedStates,0,16386835,0,16386835,16386835,29.8,IN,Individual
20200214160556,edgar/data/1336528/0001193125-20-038175.txt,SC 13G/A,20200214,20191231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,d,Pershing Square Capital Management L.P.,n,,,DELAWARE,0,16413126,0,16413126,16413126,5.5,IA,Investment Adviser
20200214160556,edgar/data/1336528/0001193125-20-038175.txt,SC 13G/A,20200214,20191231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,d,PS Management GP LLC,n,,,DELAWARE,0,16413126,0,16413126,16413126,5.5,OO,Other
20200214160556,edgar/data/1336528/0001193125-20-038175.txt,SC 13G/A,20200214,20191231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,d,William A. Ackman,n,,,U.S.A.,3561548,16413126,3561548,16413126,3942553,6.6,IN,Individual
20200207180602,edgar/data/1336528/0001193125-20-028395.txt,SC 13D/A,20200210,20200207,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square CapitalManagement L.P.,n,OO,Other,Delaware,0,1508932,0,1508932,1508932,5.4,IA,Investment Adviser
20200207180602,edgar/data/1336528/0001193125-20-028395.txt,SC 13D/A,20200210,20200207,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GPLLC,n,OO,Other,Delaware,0,1508932,0,1508932,1508932,5.4,OO,Other
20200207180602,edgar/data/1336528/0001193125-20-028395.txt,SC 13D/A,20200210,20200207,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,William A.Ackman,n,OO,Other,UnitedStates,0,1508932,0,1508932,1508932,5.4,IN,Individual
20200226162835,edgar/data/1336528/0001193125-20-050116.txt,SC 13D/A,20200226,20200224,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,OO,Other,Delaware,0,1161232,0,1161232,1161232,4.2,IA,Investment Adviser
20200226162835,edgar/data/1336528/0001193125-20-050116.txt,SC 13D/A,20200226,20200224,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,OO,Other,Delaware,0,1161232,0,1161232,1161232,4.2,OO,Other
20200226162835,edgar/data/1336528/0001193125-20-050116.txt,SC 13D/A,20200226,20200224,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,William A. Ackman,n,OO,Other,UnitedStates,0,1161232,0,1161232,1161232,4.2,IN,Individual
20200331163556,edgar/data/1336528/0001193125-20-092864.txt,SC 13D/A,20200331,20200327,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,OO,Other,Delaware,0,16386835,0,16386835,16386835,29.8,IA,Investment Adviser
20200331163556,edgar/data/1336528/0001193125-20-092864.txt,SC 13D/A,20200331,20200327,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,OO,Other,Delaware,0,16386835,0,16386835,16386835,29.8,OO,Other
20200331163556,edgar/data/1336528/0001193125-20-092864.txt,SC 13D/A,20200331,20200327,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,William A.Ackman,n,OO,Other,UnitedStates,0,16386835,0,16386835,16386835,29.8,IN,Individual
20200214160556,edgar/data/1336528/0001193125-20-038175.txt,SC 13G/A,20200214,20191231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,d,Pershing Square Capital Management L.P.,n,,,DELAWARE,0,16413126,0,16413126,16413126,5.5,IA,Investment Adviser
20200214160556,edgar/data/1336528/0001193125-20-038175.txt,SC 13G/A,20200214,20191231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,d,PS Management GP LLC,n,,,DELAWARE,0,16413126,0,16413126,16413126,5.5,OO,Other
20200214160556,edgar/data/1336528/0001193125-20-038175.txt,SC 13G/A,20200214,20191231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,d,William A. Ackman,n,,,U.S.A.,3561548,16413126,3561548,16413126,3942553,6.6,IN,Individual
20200605170202,edgar/data/1336528/0001193125-20-162296.txt,SC 13D/A,20200605,20200603,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,N/A,,Delaware,0,10918008,0,10918008,10918008,19.9,IA,Investment Adviser
20200605170202,edgar/data/1336528/0001193125-20-162296.txt,SC 13D/A,20200605,20200603,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,N/A,,Delaware,0,10918008,0,10918008,10918008,19.9,OO,Other
20200605170202,edgar/data/1336528/0001193125-20-162296.txt,SC 13D/A,20200605,20200603,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,William A. Ackman,n,N/A,,UnitedStates,0,10918008,0,10918008,10918008,19.9,IN,Individual
20200602164459,edgar/data/1336528/0001193125-20-158579.txt,SC 13D/A,20200602,20200601,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square CapitalManagement L.P.,n,OO,Other,Delaware,0,25500021,0,25500021,25500021,8.5,IA,Investment Adviser
20200602164459,edgar/data/1336528/0001193125-20-158579.txt,SC 13D/A,20200602,20200601,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,OO,Other,Delaware,0,25500021,0,25500021,25500021,8.5,OO,Other
20200602164459,edgar/data/1336528/0001193125-20-158579.txt,SC 13D/A,20200602,20200601,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,William A.Ackman,n,OO,Other,United States,3561548,25500021,3561548,25500021,3942553,9.6,IN,Individual
20200605170202,edgar/data/1336528/0001193125-20-162296.txt,SC 13D/A,20200605,20200603,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,N/A,,Delaware,0,10918008,0,10918008,10918008,19.9,IA,Investment Adviser
20200605170202,edgar/data/1336528/0001193125-20-162296.txt,SC 13D/A,20200605,20200603,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,N/A,,Delaware,0,10918008,0,10918008,10918008,19.9,OO,Other
20200605170202,edgar/data/1336528/0001193125-20-162296.txt,SC 13D/A,20200605,20200603,Howard Hughes Corp,1498828,0001498828.0000.001T420F8,HHC,Pershing Square Capital Management L.P.,1336528,N/A,William A. Ackman,n,N/A,,UnitedStates,0,10918008,0,10918008,10918008,19.9,IN,Individual
20200504165409,edgar/data/1336528/0001193125-20-132495.txt,SC 13D,20200504,20200422,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,N/A,,Delaware,0,25500021,0,25500021,25500021,8.5,IA,Investment Adviser
20200504165409,edgar/data/1336528/0001193125-20-132495.txt,SC 13D,20200504,20200422,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,N/A,,Delaware,0,25500021,0,25500021,25500021,8.5,OO,Other
20200504165409,edgar/data/1336528/0001193125-20-132495.txt,SC 13D,20200504,20200422,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,William A. Ackman,n,N/A,,UnitedStates,3561548,25500021,3561548,25500021,3942553,9.6,IN,Individual
20200602164459,edgar/data/1336528/0001193125-20-158579.txt,SC 13D/A,20200602,20200601,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square CapitalManagement L.P.,n,OO,Other,Delaware,0,25500021,0,25500021,25500021,8.5,IA,Investment Adviser
20200602164459,edgar/data/1336528/0001193125-20-158579.txt,SC 13D/A,20200602,20200601,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,OO,Other,Delaware,0,25500021,0,25500021,25500021,8.5,OO,Other
20200602164459,edgar/data/1336528/0001193125-20-158579.txt,SC 13D/A,20200602,20200601,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,William A.Ackman,n,OO,Other,United States,3561548,25500021,3561548,25500021,3942553,9.6,IN,Individual
20200504165409,edgar/data/1336528/0001193125-20-132495.txt,SC 13D,20200504,20200422,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,N/A,,Delaware,0,25500021,0,25500021,25500021,8.5,IA,Investment Adviser
20200504165409,edgar/data/1336528/0001193125-20-132495.txt,SC 13D,20200504,20200422,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,N/A,,Delaware,0,25500021,0,25500021,25500021,8.5,OO,Other
20200504165409,edgar/data/1336528/0001193125-20-132495.txt,SC 13D,20200504,20200422,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,N/A,William A. Ackman,n,N/A,,UnitedStates,3561548,25500021,3561548,25500021,3942553,9.6,IN,Individual
